Data Export Generated on Wed Feb 19 09:28:27 PST 2025,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 10772365,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,Custom Variable 1,Custom Variable 2,Custom Variable 3,Custom Variable 4,Custom Variable 5,Respondent Email,Email List,Country Code,Region,Lead TA Shift Report - Thanks for helping us collect data!,What is the date of the shift you are reporting for?,Please choose the day of the week.,Please enter the time slot.,Approximately how many times did you help a student during your shift?,Comment on how long TAs generally spent with a given student during your shift.,What were the most common problems being addressed. Ideally these would be prefaced with the course number.
96515247,Completed,134.126.113.122,1/24/23 09:29,0,50,1,,,,,,,,,US,VA,,1/23/23,Monday,5-7 pm,10,10m,Setup for 149 and 159
96518692,Completed,75.102.131.71,1/24/23 10:12,0,149,1,,,,,,,,,US,VA,,1/23/23,Monday,9-11 pm,2,10-15 minutes,"159 - setting up junit, how to tell if a variable is final 149 - homework problems"
96525161,Completed,134.126.113.17,1/24/23 11:39,0,108,1,,,,,,,,,US,VA,,1/23/23,Monday,7-9 pm,we in total helped around 8 students,"As it wasn't busy, we spent more time with students","Common problems such as eclipse set up for 159, and general homework problems for 149"
96556437,Completed,75.102.131.71,1/24/23 20:29,0,76,1,,,,,,,,,US,VA,,1/24/23,Tuesday,5-7 pm,2,15-20 minutes,"149: debugging math, multiple variables in a print"
96559843,Completed,75.102.137.39,1/24/23 23:08,0,2052,1,,,,,,,,,US,VA,,1/24/23,Tuesday,9-11 pm,1,30,149 - print statements and concatenate two string with variables
96559929,Completed,52.124.33.75,1/24/23 23:13,0,98,1,,,,,,,,,US,VA,,1/24/23,Tuesday,7-9 pm,13,10-15 mins,"149 - bits and bytes, miles hw 159 - pa1 hand class"
96644586,Completed,181.214.233.68,1/25/23 20:18,0,75,1,,,,,,,,,US,AZ,,1/25/23,Wednesday,5-7 pm,8,5 minutes,General Java syntax
96649073,Completed,67.187.17.151,1/25/23 23:05,0,52,1,,,,,,,,,US,VA,,1/25/23,Wednesday,9-11 pm,2,5-10mins,CS 149- Matching output with gradescope
96719756,Completed,134.126.141.39,1/26/23 18:46,0,70,1,,,,,,,,,US,VA,,1/26/23,Thursday,5-7 pm,3,10 - 15 minutes,149 | String formatting & bit's n Bytes hw 159 | Hand class in PA
96730063,Completed,52.124.33.75,1/26/23 23:07,0,76,1,,,,,,,,,US,VA,,1/26/23,Thursday,7-9 pm,6,5-7 mins,"149 - String formatting, modulo, escape characters"
96731820,Completed,52.124.33.225,1/27/23 00:29,0,138,1,,,,,,,,,US,VA,,1/26/23,Thursday,9-11 pm,3,"Not too long, except when assisting one student with java project libraries ",Eclipse setup
96863232,Completed,134.126.141.25,1/29/23 18:49,0,139,1,,,,,,,,,US,VA,,1/29/23,Sunday,5-7 pm,9,Around 10 minutes each,It was mostly issues with NullPointerExceptions as students were not instantiating private attributes after declaring them. Other issues were with trying to access elements in an array without checking if it was null first: 159
96866055,Completed,134.126.113.32,1/29/23 21:03,0,100,1,,,,,,,,,US,VA,,1/29/23,Sunday,7-9 pm,9,5-10 mins,149 - Printing with formatted strings 261 - reading files
96904585,Completed,67.187.17.110,1/30/23 11:45,0,87,1,,,,,,,,,US,VA,,1/30/01,Sunday,9-11 pm,1,20 minutes,"343 | Student came in with a grade scope issue regarding HTML code. The Ta That was helping them was informed that they weren’t required to help, as we aren’t really responsible for 343."
96904914,Completed,134.126.113.9,1/30/23 11:51,0,80,1,,,,,,,,,US,VA,,1/29/23,Sunday,3-5 pm Sunday only,6,5-10 minutes,Mostly syntax or struggling with week 1 both for 149 and 159
96927463,Completed,134.126.113.66,1/30/23 18:52,0,507,1,,,,,,,,,US,VA,,1/30/23,Monday,5-7 pm,10,15m,159 pa 240 Pair thing
96930432,Completed,134.126.113.17,1/30/23 20:32,0,66,1,,,,,,,,,US,VA,,1/30/23,Monday,7-9 pm,1,10,
96965720,Completed,75.102.131.71,1/31/23 10:12,0,86,1,,,,,,,,,US,VA,,1/30/23,Monday,9-11 pm,1,15 minutes,240: confirming a type mismatch/wording a piazza question
97003819,Completed,134.126.113.93,1/31/23 20:59,0,145,1,,,,,,,,,US,VA,,1/31/23,Tuesday,7-9 pm,9,10-13 mins,"240 - integrator remove 159 - checkstyle, arrays, index out of bounds 149 - escape characters, math functions"
97033544,Completed,75.102.131.71,2/1/23 10:13,0,115,1,,,,,,,,,US,VA,,1/31/23,Tuesday,5-7 pm,10,10-15 minutes,"149: laptop setup, pop vs remove 159: initializing an array, pa instructions 240: generics"
