Data Export Generated on Wed Feb 19 09:27:31 PST 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 11449351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,shift,lift,tift,biffed,Custom Variable 5,Respondent Email,Email List,Country Code,Region,Intro,What is the date of the shift you are reporting for?,Please choose the day of the week.,Please enter the time slot.,Approximately how many times did you help a student during your shift?,How many CS 149 students?,How many CS 159 Students?,How many CS 227 Students?,How many CS 240 Students?,How many CS 261 Students?,Comment on how long TAs generally spent with a given student during your shift.,What were the most common problems being addressed. Ideally these would be prefaced with the course number.
109128283,Completed,134.126.113.120,8/29/23 20:02,0,198,1,,,,,,,,,US,VA,,8/29/23,Tuesday,7-9 pm,13,13,0,0,0,0,"Most interactions were very quick, like 5 minutes.","Most common problems were print statements (formatting, lots of extra white spaces), understanding Gradescope and their error messages, and the Terminal lab from 149."
109128491,Completed,134.126.113.22,8/29/23 20:08,0,229,1,,,,,,,,,US,VA,,8/29/23,Tuesday,5-7 pm,5,5,0,0,0,0,5-10 minutes,"Most of the issues in 149 were, not matching the expected output exactly word for word and trouble with taking in input and turning it into an int. We were able to point them toward the chapter in their zybook that covered the topic. "
109146163,Completed,73.31.123.109,8/30/23 07:43,0,51,1,,,,,,,,,US,VA,,8/29/23,Tuesday,9-11 pm,0,0,0,0,0,0,,
109175785,Completed,134.126.113.115,8/30/23 18:03,0,200,1,,,,,,,,,US,VA,,8/30/23,Wednesday,5-7 pm,13,11,1,0,0,0,about 7-10 minutes,cs being new to those with no prior experience
109178947,Completed,134.126.113.17,8/30/23 19:59,0,23,1,,,,,,,,,US,VA,,8/30/23,Wednesday,7-9 pm,8,7,0,0,1,0,15,149 Syntax errors
109182386,Completed,2605:ad80:20:2900:ce:b40c:8b4d:fa7e,8/30/23 22:09,0,404,1,,,,,,,,,US,VA,,8/30/23,Wednesday,9-11 pm,3,1,6,0,0,0,10 - 20 minutes,"149: flake8 confusion 159: general java language questions, ide issues with Eclipse not working right (apparently there is a common bug with eclipse) and some autograder output confusion (for implementing all of the UML methods before submitting to gradescope)"
109182725,Completed,52.124.33.193,8/30/23 22:28,0,1030,1,,,,,,,,,US,VA,,8/30/23,Wednesday,5-7 pm,13,11,1,0,0,0,about 7-10 minutes,mostly 149 students trying to conceptualize variables and data storage. 
109221237,Started,134.126.113.37,8/31/23 18:14,0,696,1,,,,,,,,,US,VA,,8/31/23,Thursday,,1,2,0,0,0,1,5-10 minutes ,"CS 149: understanding newline character, installing thonny on a chromebook CS 261: understanding pointers (weird homework question , **(int8_t**)c = 4)"
109514396,Completed,134.126.23.144,9/6/23 15:30,0,36,1,,,,,,,,,US,VA,,9/6/23,Wednesday,5-7 pm,2,0,2,0,0,0,15,eclipse formatter
109518484,Completed,134.126.113.12,9/6/23 16:58,0,157,1,,,,,,,,,US,VA,,9/3/23,Sunday,9-11 pm,1,0,0,0,1,0,10 Mins,Multiset Iterator interpreting instructions 
109518517,Completed,2600:1003:b86a:f223:9cb7:e524:98e3:9ae,9/6/23 16:58,0,50,1,,,,,,,,,US,VA,,9/4/23,Monday,5-7 pm,15,9,4,0,1,1,,
109518595,Completed,134.126.113.12,9/6/23 17:00,0,65,1,,,,,,,,,US,VA,,9/4/23,Monday,7-9 pm,2,1,1,0,0,0,10 Mins,"149 - style, concatenation vs adding 159 -, java syntax "
109522182,Completed,134.126.113.115,9/6/23 17:56,0,210,1,,,,,,,,,US,VA,,8/31/23,Thursday,7-9 pm,0,0,0,0,0,0,nobody pulled up,none
109522348,Completed,134.126.113.115,9/6/23 17:59,0,67,1,,,,,,,,,US,VA,,9/6/23,Wednesday,5-7 pm,3,2,1,0,0,0,10 minutes,not reading the instructions
109523060,Completed,134.126.113.17,9/6/23 18:14,0,60,1,,,,,,,,,US,VA,,9/3/23,Sunday,3-5 pm Sunday only,4,2,0,0,2,0,15 min,"240 iterators, 149 syntax"
109529594,Completed,2605:ad80:20:2900:f425:721d:b34a:b452,9/6/23 21:02,0,3504,1,,,,,,,,,US,VA,,9/6/23,Wednesday,9-11 pm,2,1,6,0,0,0,15 - 20 minutes,"CS 159 - Issues with Gradescope and the lab due tonight, issues with Classpath configuring in Eclipse, general Eclipse and checkstyle help CS 149 - understanding how to print with one print statement while abiding to checkstyle"
109570200,Completed,134.126.113.37,9/7/23 17:54,0,64,1,,,,,,,,,US,VA,,9/7/23,Thursday,5-7 pm,1,0,1,0,0,0,3 minutes,CS 159: java syntax misunderstanding
109573642,Completed,134.126.113.115,9/7/23 19:59,0,104,1,,,,,,,,,US,VA,,9/7/23,Thursday,7-9 pm,5,1,4,0,0,0,,nested for loops with the same named index
109575634,Completed,199.87.199.101,9/7/23 21:47,0,642,1,,,,,,,,,US,VA,,9/7/23,Thursday,9-11 pm,0,0,0,0,0,0,N/A,N/A
109578153,Started,98.244.113.74,9/8/23 00:32,0,61,1,,,,,,,,,US,VA,,9/8/23,Wednesday,7-9 pm,9,4,5,0,0,0,15,"149 test review, simple hw problems 159 first project"
109655109,Completed,134.126.113.17,9/10/23 15:59,0,48,1,,,,,,,,,US,VA,,9/10/23,Sunday,3-5 pm Sunday only,12,3,8,0,0,1,,149 and 159: syntax 
109656658,Completed,134.126.113.22,9/10/23 17:40,0,1249,1,,,,,,,,,US,VA,,9/10/23,Sunday,5-7 pm,7,0,7,0,0,0,10-15min,Checkstyle and formatting
109659458,Completed,134.126.113.120,9/10/23 19:55,0,216,1,,,,,,,,,US,VA,,9/10/23,Sunday,7-9 pm,3,0,1,0,2,0,15-30 minutes,"For 159, it was syntax with Java. For 240, it was the iterator portion of the multiset lab."
109661964,Completed,2605:ad80:20:2900:598a:afac:96d9:3be3,9/10/23 22:00,0,138,1,,,,,,,,,US,VA,,9/10/23,Sunday,9-11 pm,3,1,2,0,0,0,10 Mins,149 - Study Tactics and Quiz Prep 159 - Tab characters and Code Formatting
109702070,Completed,2600:1003:b851:91b6:19aa:4c89:7c1f:93e,9/11/23 18:00,0,148,1,,,,,,,,,US,VA,,9/11/23,Monday,5-7 pm,9,5,2,0,2,0,10-15 minutes,149-Creating conditional statements 240-Working with Java arrays
109705315,Completed,134.126.113.102,9/11/23 19:59,0,124,1,,,,,,,,,US,VA,,9/11/23,Monday,7-9 pm,9,4,5,0,0,0,15 mins,"149 - order of conditionals, syntax 159 - ArrayPlay Lab, using the class file, String.format"
109735350,Completed,199.87.199.101,9/12/23 09:27,0,152,1,,,,,,,,,US,VA,,9/11/23,Monday,9-11 pm,1,1,1,0,0,1,10 minutes,"149: student added class late, needed help catching up 159: lab4 (not sure on specifics) 261: using makefiles"
109776430,Completed,134.126.113.120,9/12/23 20:03,0,107,1,,,,,,,,,US,VA,,9/12/23,Tuesday,7-9 pm,8,7,0,0,0,1,15 minutes,"The 149 sales tax problem; for 261, it was getopt"
109781048,Completed,73.31.123.109,9/12/23 22:05,0,39,1,,,,,,,,,US,VA,,9/12/23,Tuesday,9-11 pm,3,2,0,0,0,1,30 minutes,
