Data Export Generated on Wed Mar 12 06:35:08 PDT 2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 12435362,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,shift,lift,tift,biffed,Custom Variable 5,Respondent Email,Email List,Country Code,Region,What is the date of the shift you are reporting for?,Please choose the day of the week.,Please enter the time slot.,Approximately how many times did you help a student during your shift?,How many CS 149 students?,How many CS 159 Students?,How many CS 227 Students?,How many CS 240 Students?,How many CS 261 Students?,Comment on how long TAs generally spent with a given student during your shift.
184212990,Completed,204.111.163.180,9/2/24 19:31,0,59,1,,,,,,,,,US,VA,7/4/24,Sunday,3-5 pm Sunday only,5,1,1,1,2,0,5 min
184214848,Completed,2600:1003:b866:bc08:48d:aa68:2c7f:ebd1,9/2/24 20:54,0,52,1,,,,,,,,,US,VA,9/2/24,Monday,9-11 pm,0,0,0,0,0,0,N/A
184247242,Completed,134.126.141.39,9/3/24 16:00,0,249,1,,,,,,,,,US,VA,9/3/24,Tuesday,5-7 pm,8,2,4,0,0,2,10-15 minutes
184249914,Completed,134.126.141.39,9/3/24 17:51,0,6612,1,,,,,,,,,US,VA,9/3/24,Tuesday,7-9 pm,0,0,0,0,0,0,0
184252447,Completed,2601:5c4:c700:c3d0:c8b2:26aa:6c06:5cdd,9/3/24 19:54,0,31,1,,,,,,,,,US,VA,9/3/24,Tuesday,9-11 pm,0,0,0,0,0,0,
184290201,Completed,2a09:bac3:c72b:2446::39d:19,9/4/24 16:11,0,87,1,,,,,,,,,US,VA,9/4/24,Wednesday,5-7 pm,8,1,5,0,2,0,about 15 mins
184340586,Completed,2a09:bac2:c72d:1678::23d:26,9/5/24 15:30,0,204,1,,,,,,,,,US,VA,9/4/24,Wednesday,7-9 pm,11,4,3,0,1,3,15 mins
184375886,Completed,76.120.201.4,9/6/24 13:53,0,317,1,,,,,,,,,US,VA,9/5/24,Thursday,5-7 pm,14,5,2,0,5,2,15-25 minutes
184376004,Completed,76.120.201.4,9/6/24 13:57,0,133,1,,,,,,,,,US,VA,9/5/24,Thursday,7-9 pm,11,0,2,1,6,2,10-15 minutes
184429822,Completed,134.126.141.39,9/8/24 16:08,0,387,1,,,,,,,,,US,VA,9/8/24,Sunday,5-7 pm,20,0,5,0,15,0,10-15 minutes
