Data Export Generated on Tue Jun 03 09:25:00 PDT 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 12435362,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,shift,lift,tift,biffed,Custom Variable 5,Respondent Email,Email List,Country Code,Region,What is the date of the shift you are reporting for?,Please choose the day of the week.,Please enter the time slot.,Approximately how many times did you help a student during your shift?,How many CS 149 students?,How many CS 159 Students?,How many CS 227 Students?,How many CS 240 Students?,How many CS 261 Students?,Comment on how long TAs generally spent with a given student during your shift.,What were the most common problems being addressed. Ideally these would be prefaced with the course number.
188889303,Completed,134.126.141.39,1/27/25 16:56,0,853,1,,,,,,,,,US,VA,1/27/25,Monday,5-7 pm,2,0,0,0,0,2,10-15 minutes,261 - Header files and figuring out the purpose of the makefile
188969764,Completed,134.126.253.69,1/28/25 17:10,0,327,1,,,,,,,,,US,VA,1/28/25,Tuesday,5-7 pm,3,3,0,0,0,0,"Generally a good amount of time, between 5-10 minutes ","149:generally docstring, pep8, spacing/formatting"
188972030,Completed,134.126.253.69,1/28/25 18:59,0,629,1,,,,,,,,,US,VA,1/28/25,Tuesday,7-9 pm,4,4,0,0,0,0,"Generally a good amount of time, between 5-15 minutes ","149 - understanding basic functions, operations on strings"
189031330,Completed,73.99.62.213,1/29/25 20:59,0,32,1,,,,,,,,,US,VA,1/29/25,Wednesday,9-11 pm,0,0,0,0,0,0,None,None
189088395,Completed,134.126.113.75,1/30/25 17:01,0,79,1,,,,,,,,,US,VA,1/30/25,Thursday,5-7 pm,1,0,1,0,0,0,15 minutes,159 - generic types
189089915,Completed,45.134.140.5,1/30/25 17:54,0,275,1,,,,,,,,,US,GA,1/27/25,Monday,7-9 pm,7,0,1,0,0,6,5-10 minutes ,"261: Small C nuances, bash tricks for 261, spec parsing 159: Gradescope package issue "
189091741,Completed,134.126.113.40,1/30/25 19:17,0,897,1,,,,,,,,,US,VA,1/30/25,Thursday,7-9 pm,0,0,0,0,0,0,No students today,None
189158920,Completed,134.126.253.69,2/2/25 14:58,0,286,1,,,,,,,,,US,VA,2/2/25,Sunday,3-5 pm Sunday only,2,0,0,0,2,0,5-10 minutes,240 - not strict enough error testing
189159653,Completed,134.126.113.123,2/2/25 17:01,0,41,1,,,,,,,,,US,VA,2/2/25,Sunday,5-7 pm,0,0,0,0,0,0,,
189160291,Completed,134.126.113.86,2/2/25 19:04,0,58,1,,,,,,,,,US,VA,2/2/25,Sunday,7-9 pm,2,0,0,0,0,2,5 minutes,261: understanding getopt
189226752,Completed,134.126.253.69,2/4/25 17:04,0,309,1,,,,,,,,,US,VA,2/4/25,Tuesday,5-7 pm,2,1,0,0,0,1,"NOT Saying this is a issue but Ellona did spend significant chunk of time with a single student today, I didn't say anything cause it was busy at all.","149 - not understand how to read gradescope errors 261 - wrong directory, misunderstanding specs"
189228781,Completed,134.126.253.69,2/4/25 19:05,0,282,1,,,,,,,,,US,VA,2/4/25,Tuesday,7-9 pm,2,0,0,0,2,0,"Generally a good amount of time, between 5-10 minutes ",240- errors with generics
189230829,Completed,75.102.137.39,2/4/25 21:55,0,62,1,,,,,,,,,US,VA,2/3/25,Monday,5-7 pm,2,0,2,0,0,0,5-10 minutes,159 - Just a directory structure needing to be fixed in order for submissions to work
189230841,Completed,75.102.137.39,2/4/25 21:56,0,56,1,,,,,,,,,US,VA,2/4/25,Tuesday,9-11 pm,2,0,0,0,2,0,5-10 minutes,240 - String formating
189279378,Completed,134.126.113.94,2/5/25 17:07,0,241,1,,,,,,,,,US,VA,1/29/25,Wednesday,5-7 pm,1,0,1,0,0,0,,
189279378,Completed,134.126.113.94,2/5/25 17:07,0,241,2,,,,,,,,,US,VA,,Wednesday,7-9 pm,,,,,,,,
189279393,Completed,134.126.113.94,2/5/25 17:09,0,35,1,,,,,,,,,US,VA,2/5/25,Wednesday,5-7 pm,1,0,0,0,1,0,10 mins,How to do remove
189282607,Completed,73.99.62.213,2/5/25 21:01,0,39,1,,,,,,,,,US,VA,2/5/25,Wednesday,9-11 pm,0,0,0,0,0,0,None,None
189321938,Completed,134.126.113.75,2/6/25 17:17,0,112,1,,,,,,,,,US,VA,2/6/25,Thursday,5-7 pm,3,0,1,0,0,2,15 mins,Boolean logic
189429170,Completed,134.126.253.69,2/9/25 15:00,0,224,1,,,,,,,,,US,VA,2/9/25,Sunday,3-5 pm Sunday only,3,0,2,0,1,0,"Generally a good amount of time, between 5-10 minutes ",240 - iterator removes methods(properly updating pointers) 159 - incorrect writing of tests
189430533,Completed,134.126.113.123,2/9/25 16:56,0,34,1,,,,,,,,,US,VA,2/9/25,Sunday,5-7 pm,2,0,1,0,1,0,10 mins,159: Formatting issues with printing 240: Cases for runtime differences
189431695,Completed,134.126.113.86,2/9/25 19:03,0,30,1,,,,,,,,,US,VA,2/9/25,Sunday,7-9 pm,0,0,0,0,0,0,N/A,N/A
189498396,Completed,2605:ad80:20:2449:986f:965f:140f:95c4,2/10/25 15:58,0,88,1,,,,,,,,,US,VA,2/6/25,Thursday,7-9 pm,3,0,2,0,0,1,about 15-20 minutes,261 - getopt
189498412,Completed,2605:ad80:20:2449:986f:965f:140f:95c4,2/10/25 15:58,0,29,1,,,,,,,,,US,VA,2/6/25,Thursday,9-11 pm,0,0,0,0,0,0,0 minutes,None
189499947,Completed,134.126.113.109,2/10/25 16:59,0,84,1,,,,,,,,,US,VA,2/10/25,Monday,5-7 pm,1,0,0,0,1,0,10-20 minutes,240 - iterators
189501940,Completed,134.126.113.46,2/10/25 19:04,0,86,1,,,,,,,,,US,VA,2/10/25,Monday,7-9 pm,1,0,0,0,0,1,5 minutes,"writing C, debugging w/out VSCode to help (Aboutabl sections)"
