Data Export Generated on Wed Oct 15 08:15:04 PDT 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 12435362,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,shift,lift,tift,biffed,Custom Variable 5,Respondent Email,Email List,Country Code,Region,What is the date of the shift you are reporting for?,Please choose the day of the week.,Please enter the time slot.,Approximately how many times did you help a student during your shift?,How many CS 149 students?,How many CS 159 Students?,How many CS 227 Students?,How many CS 240 Students?,How many CS 261 Students?,Comment on how long TAs generally spent with a given student during your shift.,What were the most common problems being addressed. Ideally these would be prefaced with the course number.
195881539,Completed,134.126.141.39,8/25/25 16:08,0,3396,1,,,,,,,,,US,VA,8/25/25,Monday,5-7 pm,2,2,0,0,0,0,15-30 minutes,understanding 149 Homework 1.4 
195884070,Completed,134.126.141.39,8/25/25 17:59,0,6609,1,,,,,,,,,US,VA,8/25/25,Monday,7-9 pm,1,1,0,0,0,0,,CS 149: Print functionality and textbook grading questions 
195917011,Completed,134.126.141.39,8/26/25 16:07,0,374,1,,,,,,,,,US,VA,8/26/25,Tuesday,5-7 pm,7,3,0,0,4,0,Generally good amount of time 5-15 minutes,"149 - input argument, virtual environment setup with ruff, 240 - setting up testing with junit"
195922446,Completed,2605:ad80:2f:a822:99a9:bb83:12ba:d49a,8/26/25 19:59,0,1677,1,,,,,,,,,US,VA,8/26/25,Tuesday,9-11 pm,0,0,0,0,0,0,,
195944219,Completed,73.152.182.199,8/27/25 10:39,0,52,1,,,,,,,,,US,VA,8/26/25,Tuesday,7-9 pm,4,1,0,0,3,0,10 mins,Cs240- iterators
195954101,Completed,134.126.141.39,8/27/25 16:08,0,1729,1,,,,,,,,,US,VA,8/27/25,Wednesday,5-7 pm,3,1,1,0,0,0,between 5-15 minutes,149 was a gradescope formatting issue and 159 was about returning a boolean value without an if statement (they hadn't learned it in class yet)
195960954,Completed,134.126.141.39,8/27/25 17:58,0,6457,1,,,,,,,,,US,VA,8/27/25,Wednesday,7-9 pm,9,9,0,0,0,0,,149: Using two print statements and getting the second print statements output on the same line as the first print (end parameter for print function) 149: explaining what variables are (use visual tools for these) 149: printing variables (esp. why not to use '' around the variable names in print) 149: understanding what docstrings are 
195962950,Completed,204.111.113.108,8/27/25 20:03,0,101,1,,,,,,,,,US,VA,8/27/25,Wednesday,9-11 pm,1,1,0,0,0,0,20 minutes,149 - Fixing SyntaxErrors
195990469,Completed,134.126.141.39,8/28/25 15:58,0,717,1,,,,,,,,,US,VA,8/28/25,Thursday,5-7 pm,1,0,0,0,1,0,2 minutes,Inner class (iterator definition); student wrote code that was floating in attribute area and not in the body of a method.
195992585,Completed,134.126.141.39,8/28/25 17:56,0,66,1,,,,,,,,,US,VA,8/28/25,Thursday,7-9 pm,0,0,0,0,0,0,0 minutes,N/A
195994259,Completed,2605:ad80:2f:a822:9c15:ac5:dd0c:51aa,8/28/25 19:45,0,47,1,,,,,,,,,US,VA,8/28/25,Thursday,9-11 pm,0,0,0,0,0,0,0 minutes,n/a
196044393,Completed,134.126.141.39,8/31/25 14:02,0,420,1,,,,,,,,,US,VA,8/31/25,Sunday,3-5 pm Sunday only,1,1,0,0,0,0,Longer than usually ~15 minutes,149 - Understanding gradescope errors message and style guides
196045219,Completed,134.126.141.39,8/31/25 15:59,0,31,1,,,,,,,,,US,VA,8/31/25,Sunday,5-7 pm,0,0,0,0,0,0,0 minutes,n/a
196046095,Completed,134.126.141.39,8/31/25 17:57,0,7231,1,,,,,,,,,US,VA,8/31/25,Sunday,7-9 pm,0,0,0,0,0,0,,
196048048,Completed,134.126.113.98,8/31/25 22:35,0,28,1,,,,,,,,,US,VA,8/31/25,Sunday,9-11 pm,0,0,0,0,0,0,na,na
196074416,Completed,134.126.141.39,9/1/25 15:59,0,196,1,,,,,,,,,US,VA,9/1/25,Monday,5-7 pm,2,2,0,0,0,0,under 15 minutes,"One student had a formatting issue with a 149 lab, the other student was trying to understand how to print more than one decimal place for a float number in python for a homework assignment,"
196076605,Completed,134.126.141.39,9/1/25 17:51,0,7097,1,,,,,,,,,US,VA,9/1/25,Monday,7-9 pm,0,0,0,0,0,0,,
196102574,Completed,134.126.113.89,9/2/25 15:59,0,79,1,,,,,,,,,US,VA,9/2/25,Tuesday,5-7 pm,0,0,0,0,0,0,,
196104596,Completed,134.126.113.96,9/2/25 17:59,0,36,1,,,,,,,,,US,VA,9/2/25,Tuesday,7-9 pm,0,0,0,0,0,0,0 mins,None
196106777,Completed,2605:ad80:2f:a822:c1f:4f5:e384:7faa,9/2/25 19:51,0,716,1,,,,,,,,,US,VA,9/2/25,Tuesday,9-11 pm,0,0,0,0,0,0,,
196138203,Completed,134.126.141.39,9/3/25 16:14,0,189,1,,,,,,,,,US,VA,9/3/25,Wednesday,5-7 pm,5,5,0,0,0,0,less than 15 minutes ,"Lots of gradescope issues, either with the tests on gradescope not being correct or the student had incorrect ouput."
196139563,Completed,134.126.141.39,9/3/25 18:00,0,2264,1,,,,,,,,,US,VA,9/3/25,Wednesday,7-9 pm,3,4,0,0,3,0,15-25 min,240: issues with time complexity & iterators 149: issues with gradescope (different professors having different specifications/testers) & various gradescope issues 
196163915,Completed,134.126.141.39,9/4/25 16:12,0,923,1,,,,,,,,,US,VA,9/4/25,Thursday,5-7 pm,1,1,1,0,1,0,~15 minutes,149: Gradescope style issues (separate from ruff issues). 159: Strange errors with Java in VSCode. 240: Explaining how to look at code and come up with a general analysis of runtime from code.
196165199,Completed,134.126.141.39,9/4/25 18:01,0,115,1,,,,,,,,,US,VA,9/4/25,Thursday,7-9 pm,1,0,0,0,1,0,Barely 5 minutes.,Explaining time complexity
