Data Export Generated on Thu May 28 10:06:36 PDT 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 12435362,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,shift,lift,tift,biffed,Custom Variable 5,Respondent Email,Email List,Country Code,Region,What is the date of the shift you are reporting for?,Please choose the day of the week.,Please enter the time slot.,Approximately how many times did you help a student during your shift?,How many CS 149 students?,How many CS 159 Students?,How many CS 227 Students?,How many CS 240 Students?,How many CS 261 Students?,Comment on how long TAs generally spent with a given student during your shift.,What were the most common problems being addressed. Ideally these would be prefaced with the course number.
201554752,Completed,2605:ad80:2f:a822:d45:7f1e:4279:9cb9,1/27/26 19:13,0,15,1,,,,,,,,,US,VA,1/27/26,Tuesday,7-9 pm,0,0,0,0,0,0,,
201592398,Completed,134.126.141.39,1/28/26 17:01,0,123,1,,,,,,,,,US,VA,1/28/26,Wednesday,5-7 pm,0,0,0,0,0,0,0 minutes,n/a
201594443,Completed,134.126.141.39,1/28/26 19:00,0,91,1,,,,,,,,,US,VA,1/28/26,Wednesday,7-9 pm,0,0,0,0,0,0,0 minutes,n/a
201596128,Completed,2605:ad80:2f:a822:507:71b7:fee9:5cb8,1/28/26 20:57,0,144,1,,,,,,,,,US,VA,1/28/26,Wednesday,9-11 pm,0,0,0,0,0,0,,
201622695,Completed,134.126.141.39,1/29/26 17:12,0,4,1,,,,,,,,,US,VA,1/29/26,Thursday,5-7 pm,3,6,0,0,0,0,20 minutes,149 - Understanding how to separate lines using print statements 149 - Understanding file outputs 149 - Ruff installation 149 - Thonny interpreter configuration 149 - Python syntax
201625319,Completed,134.126.141.39,1/29/26 19:01,0,3757,1,,,,,,,,,US,VA,1/29/26,Thursday,9-11 pm,6,6,0,0,0,0,5-15 mins,149 - Print function confusion; understanding ruff checkstyle erros
201627033,Completed,2605:ad80:2f:a822:3991:5d31:2f93:8cbf,1/29/26 21:03,0,660,1,,,,,,,,,US,VA,1/29/26,Thursday,9-11 pm,0,0,0,0,0,0,no one here :(,no one here
201680091,Completed,134.126.141.39,2/1/26 15:01,0,4100,1,,,,,,,,,US,VA,2/1/26,Sunday,3-5 pm Sunday only,0,0,0,0,0,0,0 minutes,N/A
201681875,Completed,134.126.141.39,2/1/26 17:08,0,47,1,,,,,,,,,US,VA,2/1/26,Sunday,5-7 pm,1,0,0,0,0,1,~10 minutes,261: Getopt with a missing follow-up argument.
201682811,Completed,134.126.141.39,2/1/26 18:59,0,647,1,,,,,,,,,US,VA,2/1/26,Sunday,7-9 pm,0,0,0,0,0,0,no one came ,na
201683955,Completed,2605:ad80:2f:a822:24cc:8ae9:dcbf:b8b3,2/1/26 21:02,0,15,1,,,,,,,,,US,VA,2/1/26,Sunday,9-11 pm,0,0,0,0,0,0,,
201712096,Completed,134.126.113.46,2/2/26 16:59,0,23,1,,,,,,,,,US,VA,2/2/26,Monday,5-7 pm,1,0,0,0,0,1,,
201713768,Completed,134.126.141.39,2/2/26 19:01,0,38,1,,,,,,,,,US,VA,2/2/26,Monday,7-9 pm,0,0,0,0,0,0,0 minutes,n/a
201738926,Completed,134.126.113.5,2/3/26 17:03,0,166,1,,,,,,,,,US,VA,2/3/26,Tuesday,5-7 pm,5,5,0,0,0,0,Around 15 minutes,"Basic functions - input(), print(), string formatting."
201740892,Completed,134.126.113.52,2/3/26 19:04,0,3893,1,,,,,,,,,US,VA,2/3/26,Tuesday,7-9 pm,8,5,0,3,0,0,40-50 mins,"240: time complexity, and figuring out them with substitution 149: printing issues, and learning how to use variables within a print"
