Data Export Generated on Wed Feb 19 09:26:23 PST 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 11853840,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,shift,lift,tift,biffed,Custom Variable 5,Respondent Email,Email List,Country Code,Region,Intro,What is the date of the shift you are reporting for?,Please choose the day of the week.,Please enter the time slot.,Approximately how many student-questions were helped in total during your shift? (we understand that this tally may be higher than the number of students in the room because a student may add themselves a 2nd time...),How many CS 149 students?,How many CS 159 Students?,How many CS 227 Students?,How many CS 240 Students?,How many CS 261 Students?,Comment on how long TAs generally spent with a given student during your shift.,What were the most common problems being addressed. Ideally these would be prefaced with the course number.
115888746,Completed,2601:5c4:c700:c3d0:a1c0:7c7e:f3d6:2bd,1/23/24 08:47,0,43,1,,,,,,,,,US,VA,,1/22/24,Monday,7-9 pm,7,6,1,0,0,0,10-15 mins,
115899552,Completed,134.126.113.50,1/23/24 10:52,0,71,1,,,,,,,,,US,VA,,1/22/24,Monday,9-11 pm,0,0,0,0,0,0,N/A-no students showed up,N/A
115910347,Completed,134.126.113.17,1/23/24 14:17,0,79,1,,,,,,,,,US,VA,,1/22/24,Monday,5-7 pm,4,1,3,0,0,0,15,"149 - formatting 159 - formatting, syntax"
115921729,Completed,134.126.113.74,1/23/24 19:39,0,132,1,,,,,,,,,US,VA,,1/23/24,Monday,5-7 pm,4,4,0,0,0,0,20-30 minutes. ,"149: basic python syntax issues, flake8/docstring comprehension, helped one student with basic understanding of how computer file systems work"
115924353,Completed,134.126.113.22,1/23/24 21:31,0,77,1,,,,,,,,,US,VA,,1/23/24,Monday,7-9 pm,6,5,0,0,2,0,10-20mins,"240 - iterators 149 - formatting, pep8"
115961036,Completed,134.126.113.17,1/24/24 12:28,0,46,1,,,,,,,,,US,VA,,1/23/24,Monday,9-11 pm,0,0,0,0,0,0,,
115975009,Completed,134.126.113.17,1/24/24 19:00,0,162,1,,,,,,,,,US,VA,,1/24/24,Wednesday,5-7 pm,7,3,2,2,0,0,15 minutes,227: truth tables 159: Java Syntax
115977433,Completed,134.126.113.82,1/24/24 21:03,0,115,1,,,,,,,,,US,VA,,1/24/24,Wednesday,7-9 pm,11,9,0,1,1,0,10 minutes,149 strings and such
115979198,Completed,2601:5c4:c780:1470:7cc2:63d9:301a:9ef4,1/24/24 22:56,0,582,1,,,,,,,,,US,VA,,1/24/24,Wednesday,9-11 pm,1,1,0,0,0,0,15 minutes,149 - program that is only allowed to have two print statements
115991175,Completed,134.126.113.82,1/25/24 08:52,0,58,1,,,,,,,,,US,VA,,1/24/24,Wednesday,7-9 pm,11,9,0,1,1,0,10 minutes,strings in 149
116017267,Completed,134.126.113.82,1/25/24 18:56,0,53,1,,,,,,,,,US,VA,,1/25/24,Thursday,5-7 pm,1,0,1,0,0,0,5 minutes,vscode java debugging
